InstanceType,CPU,Memory,Storage,Cost
linux-d48asv4-lowpriority,48,192,384,0.461
windows-d48asv4-lowpriority,48,192,384,1.805
linux-d64asv4-lowpriority,64,256,512,0.614
windows-d64asv4-lowpriority,64,256,512,2.406
linux-d96asv4-lowpriority,96,384,768,0.922
windows-d96asv4-lowpriority,96,384,768,3.61
linux-d2asv4-standard,2,8,16,0.096
windows-d2asv4-standard,2,8,16,0.188
linux-d4asv4-standard,4,16,32,0.192
windows-d4asv4-standard,4,16,32,0.376
linux-d8asv4-standard,8,32,64,0.384
windows-d8asv4-standard,8,32,64,0.752
linux-d16asv4-standard,16,64,128,0.768
windows-d16asv4-standard,16,64,128,1.504
linux-d32asv4-standard,32,128,256,1.536
windows-d32asv4-standard,32,128,256,3.008
linux-d48asv4-standard,48,192,384,2.304
windows-d48asv4-standard,48,192,384,4.512
linux-d64asv4-standard,64,256,512,3.072
windows-d64asv4-standard,64,256,512,6.016
linux-d96asv4-standard,96,384,768,4.608
windows-d96asv4-standard,96,384,768,9.024
linux-d2asv5-standard,2,8,,0.086
windows-d2asv5-standard,2,8,,0.178
linux-d4asv5-standard,4,16,,0.172
windows-d4asv5-standard,4,16,,0.356
linux-d8asv5-standard,8,32,,0.344
windows-d8asv5-standard,8,32,,0.712
linux-d16asv5-standard,16,64,,0.688
windows-d16asv5-standard,16,64,,1.424
linux-d32asv5-standard,32,128,,1.376
windows-d32asv5-standard,32,128,,2.848
linux-d48asv5-standard,48,192,,2.064
windows-d48asv5-standard,48,192,,4.272
linux-d64asv5-standard,64,256,,2.752
windows-d64asv5-standard,64,256,,5.696
linux-d96asv5-standard,96,384,,4.128
windows-d96asv5-standard,96,384,,8.544
linux-d2av4-lowpriority,2,8,50,0.0192
windows-d2av4-lowpriority,2,8,50,0.0752
linux-d4av4-lowpriority,4,16,100,0.0384
windows-d4av4-lowpriority,4,16,100,0.15
linux-d8av4-lowpriority,8,32,200,0.0768
windows-d8av4-lowpriority,8,32,200,0.301
linux-d16av4-lowpriority,16,64,400,0.154
windows-d16av4-lowpriority,16,64,400,0.602
linux-d32av4-lowpriority,32,128,800,0.307
windows-d32av4-lowpriority,32,128,800,1.203
linux-d48av4-lowpriority,48,192,1200,0.461
windows-d48av4-lowpriority,48,192,1200,1.805
linux-d64av4-lowpriority,64,256,1600,0.614
windows-d64av4-lowpriority,64,256,1600,2.406
linux-d96av4-lowpriority,96,384,2400,0.922
windows-d96av4-lowpriority,96,384,2400,3.61
linux-d2av4-standard,2,8,50,0.096
windows-d2av4-standard,2,8,50,0.188
linux-d4av4-standard,4,16,100,0.192
windows-d4av4-standard,4,16,100,0.376
linux-d8av4-standard,8,32,200,0.384
windows-d8av4-standard,8,32,200,0.752
linux-d16av4-standard,16,64,400,0.768
windows-d16av4-standard,16,64,400,1.504
linux-d32av4-standard,32,128,800,1.536
windows-d32av4-standard,32,128,800,3.008
linux-d48av4-standard,48,192,1200,2.304
windows-d48av4-standard,48,192,1200,4.512
linux-d64av4-standard,64,256,1600,3.072
windows-d64av4-standard,64,256,1600,6.016
linux-d96av4-standard,96,384,2400,4.608
windows-d96av4-standard,96,384,2400,9.024
linux-d2lsv5-standard,2,4,0,0.085
windows-d2lsv5-standard,2,4,0,0.177
linux-d4lsv5-standard,4,8,0,0.17
windows-d4lsv5-standard,4,8,0,0.354
linux-d8lsv5-standard,8,16,0,0.34
windows-d8lsv5-standard,8,16,0,0.708
linux-d16lsv5-standard,16,32,0,0.68
windows-d16lsv5-standard,16,32,0,1.416
linux-d32lsv5-standard,32,64,0,1.36
windows-d32lsv5-standard,32,64,0,2.832
linux-d48lsv5-standard,48,96,0,2.04
windows-d48lsv5-standard,48,96,0,4.248
linux-d64lsv5-standard,64,128,0,2.72
windows-d64lsv5-standard,64,128,0,5.664
linux-d96lsv5-standard,96,192,0,4.08
windows-d96lsv5-standard,96,192,0,8.496
linux-d2ldsv5-standard,2,4,75,0.096
windows-d2ldsv5-standard,2,4,75,0.188
linux-d4ldsv5-standard,4,8,150,0.192
windows-d4ldsv5-standard,4,8,150,0.376
linux-d8ldsv5-standard,8,16,300,0.384
windows-d8ldsv5-standard,8,16,300,0.752
linux-d16ldsv5-standard,16,32,600,0.768
windows-d16ldsv5-standard,16,32,600,1.504
linux-d32ldsv5-standard,32,64,1200,1.536
windows-d32ldsv5-standard,32,64,1200,3.008
linux-d48ldsv5-standard,48,96,1800,2.304
windows-d48ldsv5-standard,48,96,1800,4.512
linux-d64ldsv5-standard,64,128,2400,3.072
windows-d64ldsv5-standard,64,128,2400,6.016
linux-d96ldsv5-standard,96,192,3600,4.608
windows-d96ldsv5-standard,96,192,3600,9.024
linux-dc1dsv3-standard,1,8,75,0.113
windows-dc1dsv3-standard,1,8,75,0.159
linux-dc2dsv3-standard,2,16,150,0.226
windows-dc2dsv3-standard,2,16,150,0.318
linux-dc4dsv3-standard,4,32,300,0.452
windows-dc4dsv3-standard,4,32,300,0.636
linux-dc8dsv3-standard,8,64,600,0.904
windows-dc8dsv3-standard,8,64,600,1.272
linux-dc16dsv3-standard,16,128,1200,1.808
windows-dc16dsv3-standard,16,128,1200,2.544
linux-dc24dsv3-standard,24,192,1800,2.712
windows-dc24dsv3-standard,24,192,1800,3.816
linux-dc32dsv3-standard,32,256,2400,3.616
windows-dc32dsv3-standard,32,256,2400,5.088
linux-dc48dsv3-standard,48,384,2400,5.424
windows-dc48dsv3-standard,48,384,2400,7.632
linux-dc1sv3-standard,1,8,,0.096
windows-dc1sv3-standard,1,8,,0.142
linux-dc2sv3-standard,2,16,,0.192
windows-dc2sv3-standard,2,16,,0.284
linux-dc4sv3-standard,4,32,,0.384
windows-dc4sv3-standard,4,32,,0.568
linux-dc8sv3-standard,8,64,,0.768
windows-dc8sv3-standard,8,64,,1.136
linux-dc16sv3-standard,16,128,,1.536
windows-dc16sv3-standard,16,128,,2.272
linux-dc24sv3-standard,24,192,,2.304
windows-dc24sv3-standard,24,192,,3.408
linux-dc32sv3-standard,32,256,,3.072
windows-dc32sv3-standard,32,256,,4.544
linux-dc48sv3-standard,48,384,,4.608
windows-dc48sv3-standard,48,384,,6.816
linux-d2dsv4-lowpriority,2,8,75,0.0226
windows-d2dsv4-lowpriority,2,8,75,0.082
linux-d4dsv4-lowpriority,4,16,150,0.0452
windows-d4dsv4-lowpriority,4,16,150,0.164
linux-d8dsv4-lowpriority,8,32,300,0.0904
windows-d8dsv4-lowpriority,8,32,300,0.328
linux-d16dsv4-lowpriority,16,64,600,0.181
windows-d16dsv4-lowpriority,16,64,600,0.656
linux-d32dsv4-lowpriority,32,128,1200,0.362
windows-d32dsv4-lowpriority,32,128,1200,1.312
linux-d48dsv4-lowpriority,48,192,1800,0.542
windows-d48dsv4-lowpriority,48,192,1800,1.968
linux-d64dsv4-lowpriority,64,256,2400,0.723
windows-d64dsv4-lowpriority,64,256,2400,2.624
linux-d2dsv4-standard,2,8,75,0.113
windows-d2dsv4-standard,2,8,75,0.205
linux-d4dsv4-standard,4,16,150,0.226
windows-d4dsv4-standard,4,16,150,0.41
linux-d8dsv4-standard,8,32,300,0.452
windows-d8dsv4-standard,8,32,300,0.82
linux-d16dsv4-standard,16,64,600,0.904
windows-d16dsv4-standard,16,64,600,1.64
linux-d32dsv4-standard,32,128,1200,1.808
windows-d32dsv4-standard,32,128,1200,3.28
linux-d48dsv4-standard,48,192,1800,2.712
windows-d48dsv4-standard,48,192,1800,4.92
linux-d64dsv4-standard,64,256,2400,3.616
windows-d64dsv4-standard,64,256,2400,6.56
linux-d2dsv5-standard,2,8,75,0.113
windows-d2dsv5-standard,2,8,75,0.205
linux-d4dsv5-standard,4,16,150,0.226
windows-d4dsv5-standard,4,16,150,0.41
linux-d8dsv5-standard,8,32,300,0.452
windows-d8dsv5-standard,8,32,300,0.82
linux-d16dsv5-standard,16,64,600,0.904
windows-d16dsv5-standard,16,64,600,1.64
linux-d32dsv5-standard,32,128,1200,1.808
windows-d32dsv5-standard,32,128,1200,3.28
linux-d48dsv5-standard,48,192,1800,2.712
windows-d48dsv5-standard,48,192,1800,4.92
linux-d64dsv5-standard,64,256,2400,3.616
windows-d64dsv5-standard,64,256,2400,6.56
linux-d96dsv5-standard,96,384,3600,5.424
windows-d96dsv5-standard,96,384,3600,9.84
linux-d2dv4-lowpriority,2,8,75,0.0226
windows-d2dv4-lowpriority,2,8,75,0.082
linux-d4dv4-lowpriority,4,16,150,0.0452
windows-d4dv4-lowpriority,4,16,150,0.164
linux-d8dv4-lowpriority,8,32,300,0.0904
windows-d8dv4-lowpriority,8,32,300,0.328
linux-d16dv4-lowpriority,16,64,600,0.181
windows-d16dv4-lowpriority,16,64,600,0.656
linux-d32dv4-lowpriority,32,128,1200,0.362
windows-d32dv4-lowpriority,32,128,1200,1.312
linux-d48dv4-lowpriority,48,192,1800,0.542
windows-d48dv4-lowpriority,48,192,1800,1.968
linux-d64dv4-lowpriority,64,256,2400,0.723
windows-d64dv4-lowpriority,64,256,2400,2.624
linux-d2dv4-standard,2,8,75,0.113
windows-d2dv4-standard,2,8,75,0.205
linux-d4dv4-standard,4,16,150,0.226
windows-d4dv4-standard,4,16,150,0.41
linux-d8dv4-standard,8,32,300,0.452
windows-d8dv4-standard,8,32,300,0.82
linux-d16dv4-standard,16,64,600,0.904
windows-d16dv4-standard,16,64,600,1.64
linux-d32dv4-standard,32,128,1200,1.808
windows-d32dv4-standard,32,128,1200,3.28
linux-d48dv4-standard,48,192,1800,2.712
windows-d48dv4-standard,48,192,1800,4.92
linux-d64dv4-standard,64,256,2400,3.616
windows-d64dv4-standard,64,256,2400,6.56
linux-d2dv5-standard,2,8,75,0.113
windows-d2dv5-standard,2,8,75,0.205
linux-d4dv5-standard,4,16,150,0.226
windows-d4dv5-standard,4,16,150,0.41
linux-d8dv5-standard,8,32,300,0.452
windows-d8dv5-standard,8,32,300,0.82
linux-d16dv5-standard,16,64,600,0.904
windows-d16dv5-standard,16,64,600,1.64
linux-d32dv5-standard,32,128,1200,1.808
windows-d32dv5-standard,32,128,1200,3.28
linux-d48dv5-standard,48,192,1800,2.712
windows-d48dv5-standard,48,192,1800,4.92
linux-d64dv5-standard,64,256,2400,3.616
windows-d64dv5-standard,64,256,2400,6.56
linux-d96dv5-standard,96,384,3600,5.424
windows-d96dv5-standard,96,384,3600,9.84
linux-d2psv5-standard,2,8,0,0.077
linux-d4psv5-standard,4,16,0,0.154
linux-d8psv5-standard,8,32,0,0.308
linux-d16psv5-standard,16,64,0,0.616
linux-d32psv5-standard,32,128,0,1.232
linux-d48psv5-standard,48,192,0,1.848
linux-d64psv5-standard,64,208,0,2.464
linux-d2pdsv5-standard,2,8,75,0.0904
linux-d4pdsv5-standard,4,16,150,0.181
linux-d8pdsv5-standard,8,32,300,0.362
linux-d16pdsv5-standard,16,64,600,0.723
linux-d32pdsv5-standard,32,128,1200,1.446
linux-d48pdsv5-standard,48,192,1800,2.17
linux-d64pdsv5-standard,64,208,2400,2.893
linux-d2plsv5-standard,2,4,0,0.068
linux-d4plsv5-standard,4,8,0,0.136
linux-d8plsv5-standard,8,16,0,0.272
linux-d16plsv5-standard,16,32,0,0.544
linux-d32plsv5-standard,32,64,0,1.088
linux-d48plsv5-standard,48,96,0,1.632
linux-d64plsv5-standard,64,128,0,2.176
linux-d2pldsv5-standard,2,4,75,0.0768
linux-d4pldsv5-standard,4,8,150,0.154
linux-d8pldsv5-standard,8,16,300,0.307
linux-d16pldsv5-standard,16,32,600,0.614
linux-d32pldsv5-standard,32,64,1200,1.229
linux-d48pldsv5-standard,48,96,1800,1.843
linux-d64pldsv5-standard,64,128,2400,2.458
linux-d1s-standard,1,3.5,7,0.067
windows-d1s-standard,1,3.5,7,0.13
linux-d2s-standard,2,7,14,0.134
windows-d2s-standard,2,7,14,0.26
linux-d3s-standard,4,14,28,0.268
windows-d3s-standard,4,14,28,0.52
linux-d4s-standard,8,28,56,0.536
windows-d4s-standard,8,28,56,1.04
linux-d11s-standard,2,14,28,0.173
windows-d11s-standard,2,14,28,0.243
linux-d12s-standard,4,28,56,0.347
windows-d12s-standard,4,28,56,0.486
linux-d13s-standard,8,56,112,0.694
windows-d13s-standard,8,56,112,0.972
linux-d14s-standard,16,112,224,1.387
windows-d14s-standard,16,112,224,1.944
linux-ds1v2-standard,1,3.5,7,0.057
windows-ds1v2-standard,1,3.5,7,0.117
linux-ds2v2-standard,2,7,14,0.114
windows-ds2v2-standard,2,7,14,0.234
linux-ds3v2-standard,4,14,28,0.229
windows-ds3v2-standard,4,14,28,0.468
linux-ds4v2-standard,8,28,56,0.458
windows-ds4v2-standard,8,28,56,0.936
linux-ds5v2-standard,16,56,112,0.916
windows-ds5v2-standard,16,56,112,1.872
linux-ds11-1-v2-standard,1,14,28,0.149
windows-ds11-1-v2-standard,1,14,28,0.243
linux-ds11v2-standard,2,14,28,0.149
windows-ds11v2-standard,2,14,28,0.243
linux-ds12-1-v2-standard,1,28,56,0.299
windows-ds12-1-v2-standard,1,28,56,0.486
linux-ds12-2-v2-standard,2,28,56,0.299
windows-ds12-2-v2-standard,2,28,56,0.486
linux-ds12v2-standard,4,28,56,0.299
windows-ds12v2-standard,4,28,56,0.486
linux-ds13-2-v2-standard,2,56,112,0.598
windows-ds13-2-v2-standard,2,56,112,0.972
linux-ds13-4-v2-standard,4,56,112,0.598
windows-ds13-4-v2-standard,4,56,112,0.972
linux-ds13v2-standard,8,56,112,0.598
windows-ds13v2-standard,8,56,112,0.972
linux-ds14-4-v2-standard,4,112,224,1.196
windows-ds14-4-v2-standard,4,112,224,1.944
linux-ds14-8-v2-standard,8,112,224,1.196
windows-ds14-8-v2-standard,8,112,224,1.944
linux-ds14v2-standard,16,112,224,1.196
windows-ds14v2-standard,16,112,224,1.944
linux-ds15v2-standard,20,140,280,1.495
windows-ds15v2-standard,20,140,280,2.43
linux-ds1v2-lowpriority,1,3.5,7,0.011
windows-ds1v2-lowpriority,1,3.5,7,0.0468
linux-ds2v2-lowpriority,2,7,14,0.0229
windows-ds2v2-lowpriority,2,7,14,0.0936
linux-ds3v2-lowpriority,4,14,28,0.0458
windows-ds3v2-lowpriority,4,14,28,0.187
linux-ds4v2-lowpriority,8,28,56,0.0916
windows-ds4v2-lowpriority,8,28,56,0.374
linux-ds5v2-lowpriority,16,56,112,0.183
windows-ds5v2-lowpriority,16,56,112,0.749
linux-ds11v2-lowpriority,2,14,28,0.0299
windows-ds11v2-lowpriority,2,14,28,0.097
linux-ds12v2-lowpriority,4,28,56,0.0598
windows-ds12v2-lowpriority,4,28,56,0.194
linux-ds13v2-lowpriority,8,56,112,0.12
windows-ds13v2-lowpriority,8,56,112,0.389
linux-ds14v2-lowpriority,16,112,224,0.239
windows-ds14v2-lowpriority,16,112,224,0.778
linux-ds15v2-lowpriority,20,140,280,0.299
windows-ds15v2-lowpriority,20,140,280,0.972
linux-ds15iv2-standard,20,140,280,1.495
windows-ds15iv2-standard,20,140,280,2.43
linux-d2sv3-lowpriority,2,8,16,0.019
windows-d2sv3-lowpriority,2,8,16,0.075
linux-d4sv3-lowpriority,4,16,32,0.038
windows-d4sv3-lowpriority,4,16,32,0.15
linux-d8sv3-lowpriority,8,32,64,0.0768
windows-d8sv3-lowpriority,8,32,64,0.301
linux-d16sv3-lowpriority,16,64,128,0.154
windows-d16sv3-lowpriority,16,64,128,0.602
linux-d32sv3-lowpriority,32,128,256,0.307
windows-d32sv3-lowpriority,32,128,256,1.203
linux-d48sv3-lowpriority,48,192,384,0.461
windows-d48sv3-lowpriority,48,192,384,1.805
linux-d64sv3-lowpriority,64,256,512,0.614
windows-d64sv3-lowpriority,64,256,512,2.406
linux-d2sv3-standard,2,8,16,0.096
windows-d2sv3-standard,2,8,16,0.188
linux-d4sv3-standard,4,16,32,0.192
windows-d4sv3-standard,4,16,32,0.376
linux-d8sv3-standard,8,32,64,0.384
windows-d8sv3-standard,8,32,64,0.752
linux-d16sv3-standard,16,64,128,0.768
windows-d16sv3-standard,16,64,128,1.504
linux-d32sv3-standard,32,128,256,1.536
windows-d32sv3-standard,32,128,256,3.008
linux-d48sv3-standard,48,192,384,2.304
windows-d48sv3-standard,48,192,384,4.512
linux-d64sv3-standard,64,256,512,3.072
windows-d64sv3-standard,64,256,512,6.016
linux-d2sv4-lowpriority,2,8,0,0.0192
windows-d2sv4-lowpriority,2,8,0,0.0752
linux-d4sv4-lowpriority,4,16,0,0.0384
windows-d4sv4-lowpriority,4,16,0,0.15
linux-d8sv4-lowpriority,8,32,0,0.0768
windows-d8sv4-lowpriority,8,32,0,0.301
linux-d16sv4-lowpriority,16,64,0,0.154
windows-d16sv4-lowpriority,16,64,0,0.602
linux-d32sv4-lowpriority,32,128,0,0.307
windows-d32sv4-lowpriority,32,128,0,1.203
linux-d48sv4-lowpriority,48,192,0,0.461
windows-d48sv4-lowpriority,48,192,0,1.805
linux-d64sv4-lowpriority,64,256,0,0.614
windows-d64sv4-lowpriority,64,256,0,2.406
linux-d2sv4-standard,2,8,0,0.096
windows-d2sv4-standard,2,8,0,0.188
linux-d4sv4-standard,4,16,0,0.192
windows-d4sv4-standard,4,16,0,0.376
linux-d8sv4-standard,8,32,0,0.384
windows-d8sv4-standard,8,32,0,0.752
linux-d16sv4-standard,16,64,0,0.768
windows-d16sv4-standard,16,64,0,1.504
linux-d32sv4-standard,32,128,0,1.536
windows-d32sv4-standard,32,128,0,3.008
linux-d48sv4-standard,48,192,0,2.304
windows-d48sv4-standard,48,192,0,4.512
linux-d64sv4-standard,64,256,0,3.072
windows-d64sv4-standard,64,256,0,6.016
linux-d2sv5-standard,2,8,,0.096
windows-d2sv5-standard,2,8,,0.188
linux-d4sv5-standard,4,16,,0.192
windows-d4sv5-standard,4,16,,0.376
linux-d8sv5-standard,8,32,,0.384
windows-d8sv5-standard,8,32,,0.752
linux-d16sv5-standard,16,64,,0.768
windows-d16sv5-standard,16,64,,1.504
linux-d32sv5-standard,32,128,,1.536
windows-d32sv5-standard,32,128,,3.008
linux-d48sv5-standard,48,192,,2.304
windows-d48sv5-standard,48,192,,4.512
linux-d64sv5-standard,64,256,,3.072
windows-d64sv5-standard,64,256,,6.016
linux-d96sv5-standard,96,384,,4.608
windows-d96sv5-standard,96,384,,9.024
linux-d1v2-lowpriority,1,3.5,50,0.011
windows-d1v2-lowpriority,1,3.5,50,0.0468
linux-d2v2-lowpriority,2,7,100,0.0229
windows-d2v2-lowpriority,2,7,100,0.0936
linux-d3v2-lowpriority,4,14,200,0.0458
windows-d3v2-lowpriority,4,14,200,0.187
linux-d4v2-lowpriority,8,28,400,0.0916
windows-d4v2-lowpriority,8,28,400,0.374
linux-d5v2-lowpriority,16,56,800,0.183
windows-d5v2-lowpriority,16,56,800,0.749
linux-d11v2-lowpriority,2,14,100,0.0299
windows-d11v2-lowpriority,2,14,100,0.097
linux-d12v2-lowpriority,4,28,200,0.0598
windows-d12v2-lowpriority,4,28,200,0.194
linux-d13v2-lowpriority,8,56,400,0.12
windows-d13v2-lowpriority,8,56,400,0.389
linux-d14v2-lowpriority,16,112,800,0.239
windows-d14v2-lowpriority,16,112,800,0.778
linux-d15v2-lowpriority,20,140,1000,0.299
windows-d15v2-lowpriority,20,140,1000,0.972
linux-d1v2-standard,1,3.5,50,0.057
windows-d1v2-standard,1,3.5,50,0.117
linux-d2v2-standard,2,7,100,0.114
windows-d2v2-standard,2,7,100,0.234
linux-d3v2-standard,4,14,200,0.229
windows-d3v2-standard,4,14,200,0.468
linux-d4v2-standard,8,28,400,0.458
windows-d4v2-standard,8,28,400,0.936
linux-d5v2-standard,16,56,800,0.916
windows-d5v2-standard,16,56,800,1.872
linux-d11v2-standard,2,14,100,0.149
windows-d11v2-standard,2,14,100,0.243
linux-d12v2-standard,4,28,200,0.299
windows-d12v2-standard,4,28,200,0.486
linux-d13v2-standard,8,56,400,0.598
windows-d13v2-standard,8,56,400,0.972
linux-d14v2-standard,16,112,800,1.196
windows-d14v2-standard,16,112,800,1.944
linux-d15v2-standard,20,140,1000,1.495
windows-d15v2-standard,20,140,1000,2.43
linux-d15iv2-standard,20,140,1000,1.495
windows-d15iv2-standard,20,140,1000,2.43
linux-d2v3-lowpriority,2,8,50,0.019
windows-d2v3-lowpriority,2,8,50,0.075
linux-d4v3-lowpriority,4,16,100,0.038
windows-d4v3-lowpriority,4,16,100,0.15
linux-d8v3-lowpriority,8,32,200,0.0768
windows-d8v3-lowpriority,8,32,200,0.301
linux-d16v3-lowpriority,16,64,400,0.154
windows-d16v3-lowpriority,16,64,400,0.602
linux-d32v3-lowpriority,32,128,800,0.307
windows-d32v3-lowpriority,32,128,800,1.203
linux-d48v3-lowpriority,48,192,1200,0.461
windows-d48v3-lowpriority,48,192,1200,1.805
linux-d64v3-lowpriority,64,256,1600,0.614
windows-d64v3-lowpriority,64,256,1600,2.406
linux-d2v3-standard,2,8,50,0.096
windows-d2v3-standard,2,8,50,0.188
linux-d4v3-standard,4,16,100,0.192
windows-d4v3-standard,4,16,100,0.376
linux-d8v3-standard,8,32,200,0.384
windows-d8v3-standard,8,32,200,0.752
linux-d16v3-standard,16,64,400,0.768
windows-d16v3-standard,16,64,400,1.504
linux-d32v3-standard,32,128,800,1.536
windows-d32v3-standard,32,128,800,3.008
linux-d48v3-standard,48,192,1200,2.304
windows-d48v3-standard,48,192,1200,4.512
linux-d64v3-standard,64,256,1600,3.072
